collection_slug,backlog_bucket,top_repository_name,top_provider,repo_host,repo_url_hint,platform_hint,priority_kind,suggested_wave,direct_repo_hint_available,content_priority,extraction_ease,language_priority,pdf_hit_rate,raw_target_rows,tapped_target_rows,untapped_target_rows,known_overlap_source,dominant_target_types_summary,has_text,has_image,has_sound,has_video,estimated_text_items,estimated_image_items,estimated_sound_items,estimated_video_items,latest_run_id,latest_run_state,best_completed_run_id,notes,manual_priority,manual_repo_status,manual_notes
geosociety,known_host_backlog,Δελτίο της Ελληνικής Γεωλογικής Εταιρίας,Ελληνική Γεωλογική Εταιρεία,ejournals.epublishing.ekt.gr,https://ejournals.epublishing.ekt.gr/,custom_or_unknown,row_filtered,wave3_hard_or_small,yes,high,medium,strict_ELL_NONE,0.8333333333333334,54,6,48,,article:54,yes,no,no,no,54,0,0,0,,,,strict-language untapped rows=48; content_priority=high; extraction_ease=medium,,,
armenistis,discovery_backlog,Αρμενιστής,Δημόσια Κεντρική Βιβλιοθήκη Καλαμάτας,,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,47,0,47,,article:47,yes,no,no,no,47,0,0,0,,,,strict-language untapped rows=47; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
socwork,discovery_backlog,Κοινωνική Εργασία- Επιθεώρηση Κοινωνικών Επιστημών,Σύνδεσμος Κοινωνικών Λειτουργών Ελλάδος (ΣΚΛΕ),,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,44,0,44,,article:44,yes,no,no,no,44,0,0,0,,,,strict-language untapped rows=44; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
keimena_paideias,discovery_backlog,Κείμενα Παιδείας,Εργαστήριο Ιστορίας της Παιδείας και της Εκπαίδευσης του Παιδαγωγικού Τμήματος Δημοτικής Εκπαίδευσης του Δημοκρίτειου Πανεπιστημίου Θράκης,,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,42,0,42,,article:42,yes,no,no,no,42,0,0,0,,,,strict-language untapped rows=42; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
automaton,discovery_backlog,Αυτόματον: Περιοδικό Πολιτισμικής Κριτικής και  Θεωρίας Νέων Μέσων,Εταιρεία Μελέτης των Επιστημών του Ανθρώπου (ΕΜΕΑ),,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,41,0,41,,article:41,yes,no,no,no,41,0,0,0,,,,strict-language untapped rows=41; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
hapscpbs,discovery_backlog,HAPSc Policy Briefs Series,Ελληνικός Οργανισμός Πολιτικών Επιστημόνων (ΕΟΠΕ),,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,36,0,36,,article:36,yes,no,no,no,36,0,0,0,,,,strict-language untapped rows=36; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
thete,discovery_backlog,Θέματα Επιστημών και Τεχνολογίας στην Εκπαίδευση,"Εργαστήριο Εφαρμογών Εικονικής Πραγματικότητας στην Εκπαίδευση, Παιδαγωγικό Τμήμα Δημοτικής Εκπαίδευσης, Πανεπιστήμιο Ιωαννίνων",,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,35,0,35,,article:35,yes,no,no,no,35,0,0,0,,,,strict-language untapped rows=35; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
Conatus,discovery_backlog,Conatus-Περιοδικό Φιλοσοφίας,Εργαστήριο Εφαρμοσμένης Φιλοσοφίας,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,34,0,34,,article:34,yes,no,no,no,34,0,0,0,,,,strict-language untapped rows=34; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
RiSTE,discovery_backlog,Έρευνα για την Εκπαίδευση στις Φυσικές Επιστήμες και την Τεχνολογία,Ένωση για την Εκπαίδευση στις Φυσικές Επιστήμες και την Τεχνολογία (ΕΝΕΦΕΤ),,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,30,0,30,,article:30,yes,no,no,no,30,0,0,0,,,,strict-language untapped rows=30; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
thea,discovery_backlog,Θέματα Επιστημών Αγωγής,"Παιδαγωγικό Τμήμα Δημοτικής Εκπαίδευσης, Πανεπιστήμιο Ιωαννίνων",,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,30,0,30,,article:30,yes,no,no,no,30,0,0,0,,,,strict-language untapped rows=30; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
edro,discovery_backlog,Εκπαιδευτικές Διαδρομές,Διεύθυνση Πρωτοβάθμιας Εκπαίδευσης Χίου,,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,29,0,29,,article:29,yes,no,no,no,29,0,0,0,,,,strict-language untapped rows=29; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
neusis,discovery_backlog,Νεύσις,"Τμήμα Ιστορίας και Φιλοσοφίας της Επιστήμης, ΕΚΠΑ",,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,28,0,28,,article:28,yes,no,no,no,28,0,0,0,,,,strict-language untapped rows=28; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
edth,discovery_backlog,Εκπαίδευση και Θέατρο,Πανελλήνιο Δίκτυο για το Θέατρο στην Εκπαίδευση,,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,26,0,26,,article:26,yes,no,no,no,26,0,0,0,,,,strict-language untapped rows=26; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
NRCoDiSTE,discovery_backlog,Πανελλήνιο Συνέδριο Νέων Ερευνητών/Ερευνητριών στη Διδακτική των Φυσικών Επιστημών και Νέων Τεχνολογιών,Ένωση για την Εκπαίδευση στις Φυσικές Επιστήμες και την Τεχνολογία (ΕΝΕΦΕΤ),,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,24,0,24,,article:24,yes,no,no,no,24,0,0,0,,,,strict-language untapped rows=24; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
mentoras,discovery_backlog,Μέντορας,Ινστιτούτο Εκπαιδευτικής Πολιτικής,,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,24,0,24,,article:24,yes,no,no,no,24,0,0,0,,,,strict-language untapped rows=24; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
plogos,discovery_backlog,Παιδαγωγικός Λόγος,Τμήμα Βιοχημείας και Βιοτεχνολογίας Πανεπιστημίου Θεσσαλίας (Λάρισα),,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,23,0,23,,article:23,yes,no,no,no,23,0,0,0,,,,strict-language untapped rows=23; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
aeci,discovery_backlog,Adult Education Critical Issues,Επιστημονική Ένωση Εκπαίδευσης Ενηλίκων,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,20,0,20,,article:20,yes,no,no,no,20,0,0,0,,,,strict-language untapped rows=20; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
imegeeinterdisciplin,discovery_backlog,Διεπιστημονικές Προσεγγίσεις στην Εκπαίδευση,ΙΝΣΤΙΤΟΥΤΟ ΜΕΛΕΤΩΝ ΚΑΙ ΕΡΕΥΝΩΝ ΓΕΝΙΚΗΣ  ΚΑΙ ΕΙΔΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ - Ι.Μ.Ε.Γ.Ε.Ε.,,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,20,0,20,,article:20,yes,no,no,no,20,0,0,0,,,,strict-language untapped rows=20; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
praktika,discovery_backlog,Κέντρο Έρευνας για τις Ανθρωπιστικές Επιστήμες - Πρακτικά Συνεδρίων,Κέντρο Έρευνας για τις Ανθρωπιστικές Επιστήμες (ΚΕΑΕ),,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,19,0,19,,article:19,yes,no,no,no,19,0,0,0,,,,strict-language untapped rows=19; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
awpel,discovery_backlog,Aegean Working Papers in Ethnographic Linguistics,Εργαστήριο Εθνογραφικών Προσεγγίσεων της Γλώσσας (ΕΕΠΓ),,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,17,0,17,,article:17,yes,no,no,no,17,0,0,0,,,,strict-language untapped rows=17; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
jiim,discovery_backlog,Journal of Integrated Information Management,Πανεπιστήμιο Δυτικής Αττικής (ΠΑ.Δ.Α.),,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,15,0,15,,article:15,yes,no,no,no,15,0,0,0,,,,strict-language untapped rows=15; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
hsjpe,discovery_backlog,Ύσπληγξ: Επιστημονικό Περιοδικό Φυσικής Αγωγής,Πανελλήνια Ένωση Εκπαιδευτικών Λειτουργών Φυσικής Αγωγής (Π.ΕΝ.Ε.Λ.Φ.Α.),,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,14,0,14,,article:14,yes,no,no,no,14,0,0,0,,,,strict-language untapped rows=14; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
pixels,discovery_backlog,PIXELS@humanities,Κέντρο Έρευνας για τις Ανθρωπιστικές Επιστήμες (ΚΕΑΕ),,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,13,0,13,,article:13,yes,no,no,no,13,0,0,0,,,,strict-language untapped rows=13; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
episteme,discovery_backlog,Epistēmēs Metron Logos,τετARTημόριο,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,12,0,12,,article:12,yes,no,no,no,12,0,0,0,,,,strict-language untapped rows=12; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
tekmiria,discovery_backlog,Τεκμήρια,Ινστιτούτο Ιστορικών Ερευνών/ΕΙΕ,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,12,0,12,,article:12,yes,no,no,no,12,0,0,0,,,,strict-language untapped rows=12; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
mhist,discovery_backlog,Mos Historicus - Κριτική Επιθεώρηση Ευρωπαϊκής Ιστορίας,"Τμήμα Ιστορίας και Αρχαιολογίας, ΕΚΠΑ",,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,11,0,11,,article:11,yes,no,no,no,11,0,0,0,,,,strict-language untapped rows=11; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
chae,discovery_backlog,Ετήσιο Συμπόσιο Χριστιανικής Αρχαιολογικής Εταιρείας,Χριστιανική Αρχαιολογική Εταιρεία,,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,9,0,9,,article:9,yes,no,no,no,9,0,0,0,,,,strict-language untapped rows=9; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
akttechj,discovery_backlog,Ακτινοτεχνολογία,Σύλλογος Τεχνολόγων Ακτινολογίας Ακτινοθεραπείας Ελλάδας,,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,8,0,8,,article:8,yes,no,no,no,8,0,0,0,,,,strict-language untapped rows=8; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
gjre,discovery_backlog,Ελληνική περιοδική έκδοση για τη Θρησκευτική Εκπαίδευση,Πανελλήνιος Θεολογικός Σύνδεσμος «ΚΑΙΡΟΣ  - για την αναβάθμιση της Θρησκευτικής Εκπαίδευσης»,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,8,0,8,,article:8,yes,no,no,no,8,0,0,0,,,,strict-language untapped rows=8; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
iJByzPh,discovery_backlog,"ΕΙΚΩΝ, Επιθεώρηση Βυζαντινής Φιλοσοφίας","Εργαστήριο Μελέτης Θεσμικού Λόγου, Τμήμα Φιλοσοφίας, ΕΚΠΑ",,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,7,0,7,,article:7,yes,no,no,no,7,0,0,0,,,,strict-language untapped rows=7; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
KEEF,known_host_backlog,Κέντρον Ερεύνης Ελληνικής Φιλοσοφίας (ΚΕΕΦ),Ακαδημία Αθηνών,repository.academyofathens.gr,http://repository.academyofathens.gr/,custom_or_unknown,row_filtered,wave3_hard_or_small,yes,low,medium,strict_ELL_NONE,0.9981447124304267,539,533,6,,επετηρίδα:469; βιβλίο:55; μονογραφία:9; άρθρο:5; περιοδικό:1,yes,no,no,no,539,0,0,0,,,,strict-language untapped rows=6; content_priority=low; extraction_ease=medium,,,
KEEON,discovery_backlog,Κέντρον Ερεύνης Επιστημονικών Όρων και Νεολογισμών (ΚΕΕΟΝ),Ακαδημία Αθηνών,,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,5,0,5,,βιβλίο:5,yes,no,no,no,5,0,0,0,,,,strict-language untapped rows=5; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
hnps,discovery_backlog,Annual Symposium of the Hellenic Nuclear Physics Society,Hellenic Nuclear Physics Society,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,5,0,5,,article:5,yes,no,no,no,5,0,0,0,,,,strict-language untapped rows=5; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
KEBMT,discovery_backlog,Κέντρο Έρευνας της Βυζαντινής και Μεταβυζαντινής Τέχνης (ΚΕΒΜΤ),Ακαδημία Αθηνών,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,4,0,4,,βιβλίο:4,yes,no,no,no,4,0,0,0,,,,strict-language untapped rows=4; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
asem,discovery_backlog,Ανάλεκτα Σταγών και Μετεώρων,Μητροπολιτική Ακαδημία Θεολογικών και Ιστορικών Μελετών Αγίων Μετεώρων,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,4,0,4,,article:4,yes,no,no,no,4,0,0,0,,,,strict-language untapped rows=4; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
JHVMS,known_host_backlog,Περιοδικό της Ελληνικής Κτηνιατρικής Εταιρείας,Ελληνική Κτηνιατρική Εταιρεία,ejournals.epublishing.ekt.gr,https://ejournals.epublishing.ekt.gr/,custom_or_unknown,row_filtered,wave3_hard_or_small,yes,high,medium,strict_ELL_NONE,0.46842105263157896,380,378,2,,article:380,yes,no,no,no,380,0,0,0,,,,strict-language untapped rows=2; content_priority=high; extraction_ease=medium,,,
HealthResJ,discovery_backlog,Health and Research Journal,"Εθνικόν και Καποδιστριακόν Πανεπιστήμιον Αθηνών, Πρόγραμμα Μεταπτυχιακών Σπουδών «Μονάδες Εντατικής Θεραπείας»",,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,1,0,1,,article:1,yes,no,no,no,1,0,0,0,,,,strict-language untapped rows=1; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
esperia,discovery_backlog,Εώα και Εσπέρια,Εταιρεία Έρευνας των Σχέσεων του Μεσαιωνικού και Νέου Ελληνισμού με τη Δύση (ΕΕΣΜΝΕΔ),,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,1,0,1,,article:1,yes,no,no,no,1,0,0,0,,,,strict-language untapped rows=1; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
gastro,known_host_backlog,Annals of Gastroenterology,Ελληνική Γαστροεντερολογική Εταιρία,www.annalsgastro.gr,http://www.annalsgastro.gr/,custom_or_unknown,row_filtered,wave3_hard_or_small,yes,high,medium,strict_ELL_NONE,1.0,1,0,1,,article:1,yes,no,no,no,1,0,0,0,,,,strict-language untapped rows=1; content_priority=high; extraction_ease=medium,,,
hcmr_med_mar_sc,known_host_backlog,Mediterranean Marine Science,Ελληνικό Κέντρο Θαλασσίων Ερευνών (ΕΛΚΕΘΕ),ejournals.epublishing.ekt.gr,https://ejournals.epublishing.ekt.gr/,custom_or_unknown,row_filtered,wave3_hard_or_small,yes,high,hard,strict_ELL_NONE,0.0,1,0,1,,article:1,yes,no,no,no,1,0,0,0,,,,strict-language untapped rows=1; content_priority=high; extraction_ease=hard,,,
historein,discovery_backlog,Ιστορείν,Εταιρεία Μελέτης της Ιστοριογραφίας και της Θεωρίας της Ιστορίας (ΕΜΙΘΙ) - Ιστορείν,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,1,0,1,,article:1,yes,no,no,no,1,0,0,0,,,,strict-language untapped rows=1; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
pnyx,discovery_backlog,Pnyx: Journal of Classical Studies,ISEGORIA,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,1,0,1,,article:1,yes,no,no,no,1,0,0,0,,,,strict-language untapped rows=1; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
Dione,known_host_backlog,Διώνη,Πανεπιστήμιο Πειραιώς,dione.lib.unipi.gr,https://dione.lib.unipi.gr/,dspace_xmlui,whole_collection,wave3_hard_or_small,yes,high,easy,strict_ELL_NONE,0.991697799916978,16863,16920,0,,thesis:15863; article:373; NA:362; dissertation:170; bibliographic:95,yes,no,no,no,16863,0,0,0,,,,strict-language untapped rows=0; content_priority=high; extraction_ease=easy,,,
